"source","filename","time2scrape"
"dmccooey","SelfDualHexadecahedron97.txt","0.801"
"dmccooey","InvertedSnubDodecadodecahedron.txt","0.802"
"dmccooey","AntiOctagonalIrisToroid2.txt","0.803"
"dmccooey","GeodesicCube1.txt","0.81"
"dmccooey","SelfDualDecahedron22.txt","0.811"
"dmccooey","GeodesicRT2.txt","0.812"
"dmccooey","SmallCubicuboctahedron.txt","0.812"
"dmccooey","PentagrammicCrossedAntiprism.txt","0.814"
"dmccooey","SnubDodecadodecahedron.txt","0.814"
"dmccooey","BiscribedPropelloTetrakisHexahedron.txt","0.815"
"dmccooey","RectifiedTruncatedOctahedron.txt","0.815"
"dmccooey","SmallDodecicosidodecahedron.txt","0.815"
"netlib","136","0.817"
"dmccooey","SelfDualTetradecahedron2.txt","0.818"
"dmccooey","GreatRhombicTriacontahedron.txt","0.821"
"dmccooey","BiscribedOrthokisPropelloDodecahedron.txt","0.822"
"dmccooey","SelfDualHexadecahedron24.txt","0.822"
"dmccooey","Icosidodecadodecahedron.txt","0.824"
"dmccooey","SimplestO_1.txt","0.829"
"dmccooey","SmallRetrosnubIcosicosidodecahedron.txt","0.829"
"dmccooey","GreatTriakisIcosahedron.txt","0.83"
"dmccooey","RpentagonalHexecontahedron.txt","0.832"
"dmccooey","SmallSnubIcosicosidodecahedron.txt","0.832"
"dmccooey","SelfDualDodecahedron7.txt","0.833"
"dmccooey","ChamferedTetrahedron3.txt","0.834"
"dmccooey","HexagonalDipyramid.txt","0.836"
"dmccooey","JoinedRsnubCube.txt","0.839"
"dmccooey","SelfDualHexadecahedron12.txt","0.841"
"dmccooey","SmallDodecahemicosahedron.txt","0.841"
"dmccooey","OctagonalAntiprism.txt","0.842"
"dmccooey","HeptagonalPrism.txt","0.843"
"dmccooey","ConcaveDodecahedron.txt","0.844"
"dmccooey","HeptagonalAntiprism.txt","0.844"
"dmccooey","GreatSnubDodecicosidodecahedron.txt","0.848"
"dmccooey","SelfDualHendecahedron3.txt","0.85"
"netlib","47","0.85"
"dmccooey","DualGeodesicIcosahedron1.txt","0.852"
